through_date,n_pitches,n_pitchers,oof_descriptive_r,oof_splithalf_r,n_rel_units
2026-07-01,377322,684,-0.2420,0.8768,1270
2026-07-01,377322,684,-0.2356,0.8777,1270
2026-07-01,377322,684,-0.2366,0.8748,1270
2026-07-02,380014,686,-0.2388,0.8844,1276
2026-07-02,380014,686,-0.2771,0.8666,1276
2026-07-02,380014,686,-0.2781,0.8655,1276
2026-07-03,383885,688,-0.2735,0.8628,1285
2026-07-02,380014,686,-0.2774,0.8646,1276
2026-07-03,383885,688,-0.2739,0.8624,1286
2026-07-02,380014,686,-0.2907,0.8566,1276
2026-07-03,383885,688,-0.2885,0.8564,1286
2026-07-02,380014,686,-0.2988,0.8587,1276
