feature,reliab,pred,desc,pitch_r
baseline,0.8609300724959881,0.3000119541574265,0.3702893063467602,0.13643382130893558
velocity,0.9696629259551018,0.19499075422161818,0.2139876764354958,0.10057392241701833
ivb,0.9052719639275745,0.10962544256295151,0.17117111072106306,0.09710081009495285
hb,0.8849120654868772,0.20317255064378972,0.18875247488650126,0.11335309623416538
velo_diff,0.9018564777913591,0.05693340002839647,0.045670013403432186,0.08417679918873178
ivb_diff,0.864631993789678,0.1863829758436631,0.2473541951353006,0.08240637242688956
hb_diff,0.8622703881816285,0.25286500538447215,0.3113470397491951,0.11372684020157187
spin_rate,0.8545158557843272,0.3089734384285272,0.3555708913946816,0.13214810357236273
extension,0.8541012032738253,0.28039802597861785,0.35746863035545473,0.1355257216806406
arm_angle,0.8799377645070148,0.20134439886304145,0.2487085232222219,0.12909305131778184
rel_z,0.8637211311138161,0.2819710999330688,0.31555751754073613,0.12194146301186735
vaa,0.9209567871527945,0.08020921922133556,0.1213491242041684,0.040147922048332466
vaa_diff,0.9050140190817372,0.1275901179479667,0.19856908627968523,0.04459066884418002
rel_x,0.8546806217577407,0.28777595963360064,0.3564744871535552,0.1326451815768082
platoon_same,0.8647010615710012,0.30088165273385636,0.3584154005869875,0.13368615971993314
