pitcher,team,pitch_type,rawmean,n,stuff_mean,support,low_support,atom_sum,atom_n
"Abbott, Andrew",CIN,CH,0.0027890452598283056,515,102.9,0.7054,False,53004.0,515
"Abbott, Andrew",CIN,CU,-0.0007095876540711617,345,91.2,0.7797,False,31466.0,345
"Abbott, Andrew",CIN,FC,0.00296966672217954,77,110.5,1.0035,False,8509.0,77
"Abbott, Andrew",CIN,FF,-0.005324755483847583,1194,91.3,0.5014,False,109064.0,1194
"Abbott, Andrew",CIN,ST,0.006273553567483979,528,95.3,0.7872,False,50325.0,528
"Abel, Mick",MIN,CH,0.0020932965479525073,63,101.6,1.0104,False,6401.0,63
"Abel, Mick",MIN,CU,0.005894416915474548,42,105.5,0.8537,False,4433.0,42
"Abel, Mick",MIN,FF,0.0034388426675802967,155,108.5,0.6043,False,16812.0,155
"Abel, Mick",MIN,SI,-0.00420004302286543,10,94.9,0.7307,False,949.0,10
"Abel, Mick",MIN,SL,0.0052856448795258375,48,98.9,0.9394,False,4748.0,48
"Abel, Mick",MIN,ST,0.011813332004329333,39,109.2,1.1161,False,4257.0,39
"Abner, Philip",ARI,CH,-0.010912862964547597,13,77.0,1.3801,False,1001.0,13
"Abner, Philip",ARI,CU,-0.0009555826927680755,48,90.6,1.2736,False,4351.0,48
"Abner, Philip",ARI,FF,-0.006289353726956871,137,89.5,0.7936,False,12266.0,137
"Abner, Philip",ARI,ST,0.003162821043936655,47,87.6,1.28,False,4115.0,47
"Abner, Philip",SFG,CH,-0.008864471056897725,7,80.9,1.1887,False,566.0,7
"Abner, Philip",SFG,CU,-0.0021280674263834953,2,88.5,,False,177.0,2
"Abner, Philip",SFG,FF,-0.013128618570460406,14,76.1,1.0065,False,1066.0,14
"Abner, Philip",SFG,ST,0.0012663400266319513,2,83.0,1.2582,False,166.0,2
"Abreu, Bryan",HOU,CH,-0.012715677730739117,1,74.0,1.1845,False,74.0,1
"Abreu, Bryan",HOU,FC,-0.002104023394733887,106,95.4,1.1239,False,10114.0,106
"Abreu, Bryan",HOU,FF,0.0016393746939341923,465,104.9,0.4729,False,48785.0,465
"Abreu, Bryan",HOU,SI,-0.007589261629618704,2,89.0,0.8268,False,178.0,2
"Abreu, Bryan",HOU,SL,0.010052395756508264,460,110.2,0.6653,False,50693.0,460
"Acton, Garrett",MIN,CH,0.003559822613169672,4,104.5,1.2135,False,418.0,4
"Acton, Garrett",MIN,FF,0.0011201727901262247,116,103.9,0.6861,False,12056.0,116
"Acton, Garrett",MIN,SL,0.004190046619080394,83,96.2,1.0441,False,7986.0,83
"Adam, Jason",SDP,CH,0.0028542488975197835,177,103.1,0.6307,False,18241.0,177
"Adam, Jason",SDP,FF,-0.0043783477032610044,121,93.2,0.5926,False,11279.0,121
"Adam, Jason",SDP,SL,0.0051359841541852806,200,98.5,0.6407,False,19691.0,200
"Adam, Jason",SDP,ST,0.004332453063972552,38,90.5,0.8638,False,3438.0,38
"Adams, Blake",COL,CU,-0.0025376783916726707,5,87.4,1.08,False,437.0,5
"Adams, Blake",COL,FC,-0.002217692094356088,14,94.9,0.9616,False,1328.0,14
"Adams, Blake",COL,FF,-0.009487802308285609,14,83.1,0.7467,False,1164.0,14
"Adams, Blake",COL,SI,-0.010922141373157501,4,82.8,1.0057,False,331.0,4
"Adams, Mason",COL,CH,-0.009350262567750178,16,80.1,1.371,False,1281.0,16
"Adams, Mason",COL,CU,0.0015593654756230536,60,96.1,1.4747,False,5768.0,60
"Adams, Mason",COL,FC,-0.005920835421420634,16,84.0,1.204,False,1344.0,16
"Adams, Mason",COL,FF,-0.007252224765917552,105,87.6,0.85,False,9193.0,105
"Adams, Mason",COL,SI,-0.005080764667342775,76,93.3,1.0433,False,7088.0,76
"Adams, Mason",COL,ST,0.005745682582323019,31,93.9,1.4205,False,2911.0,31
"Adams, Travis",MIN,CH,-0.0002041768294268629,220,97.3,0.9507,False,21397.0,220
"Adams, Travis",MIN,FC,-0.00036646882166250556,170,100.6,0.8777,False,17096.0,170
"Adams, Travis",MIN,FF,-0.0038175016515500223,210,94.3,0.6308,False,19793.0,210
"Adams, Travis",MIN,SI,-0.0029502566624917867,48,97.1,0.7757,False,4661.0,48
"Adams, Travis",MIN,SL,0.0025269186057996214,198,92.2,0.8907,False,18264.0,198
"Agnos, Zach",COL,FC,-0.0015034163067498124,301,97.2,0.7156,False,29251.0,301
"Agnos, Zach",COL,FF,-0.004262546230594954,356,93.4,0.5612,False,33256.0,356
"Agnos, Zach",COL,FS,4.98719895861824e-05,151,92.8,0.8668,False,14018.0,151
"Agnos, Zach",COL,SI,-0.00493068979465699,187,93.6,0.7578,False,17498.0,187
"Agnos, Zach",COL,SL,0.0032882729787825646,167,94.1,0.9686,False,15708.0,167
"Agnos, Zach",COL,ST,0.004735411109465096,230,91.5,1.0245,False,21047.0,230
"Ahlstrom, Robby",TEX,CU,-0.000370559068750995,23,92.0,1.2946,False,2116.0,23
"Ahlstrom, Robby",TEX,FF,-0.003577199754431075,215,94.7,0.647,False,20369.0,215
"Ahlstrom, Robby",TEX,FS,0.0018535322319480985,97,96.0,1.0728,False,9314.0,97
"Ahlstrom, Robby",TEX,SI,-0.0035052791468423005,130,96.1,0.8312,False,12496.0,130
"Ahlstrom, Robby",TEX,SL,0.003595147925024679,165,94.8,0.9882,False,15638.0,165
"Akin, Keegan",BAL,CH,-0.0010942649219233534,113,95.6,0.5941,False,10805.0,113
"Akin, Keegan",BAL,FC,0.002272283500463924,110,108.4,0.8254,False,11928.0,110
"Akin, Keegan",BAL,FF,-0.003256130888819991,220,95.4,0.4209,False,20980.0,220
"Alcantara, Sandy",MIA,CH,0.006871933406859973,635,110.6,0.4934,False,70219.0,635
"Alcantara, Sandy",MIA,FC,0.002924773043132218,455,110.4,0.592,False,50238.0,455
"Alcantara, Sandy",MIA,FF,-0.002053311244136318,543,97.7,0.4212,False,53071.0,543
"Alcantara, Sandy",MIA,SI,0.0001851674964615681,819,102.8,0.3792,False,84173.0,819
"Alcantara, Sandy",MIA,SL,0.003530212487278812,272,94.6,0.6802,False,25729.0,272
"Alcantara, Sandy",MIA,ST,0.007252137195423745,336,97.8,1.2653,False,32854.0,336
"Aldegheri, Sam",LAA,CH,-0.0025052858135490813,189,93.0,1.1921,False,17568.0,189
"Aldegheri, Sam",LAA,CU,-0.0055729994985639405,46,80.7,1.2101,False,3710.0,46
"Aldegheri, Sam",LAA,FC,-0.003621173982397662,52,90.8,1.1285,False,4724.0,52
"Aldegheri, Sam",LAA,FF,-0.01243890832955197,291,77.5,0.7029,False,22538.0,291
"Aldegheri, Sam",LAA,SL,-0.0003636538081082108,32,85.4,0.9517,False,2732.0,32
"Aleman, Franco",CLE,CH,-0.0010209450670767442,28,95.8,1.1722,False,2681.0,28
"Aleman, Franco",CLE,FF,0.002913372378650357,283,107.4,0.9464,False,30393.0,283
"Aleman, Franco",CLE,SL,0.010379303046020454,116,111.0,1.2509,False,12876.0,116
"Alexander, Jason",HOU,CH,0.0015304614353919446,105,100.5,0.5385,False,10555.0,105
"Alexander, Jason",HOU,FC,-0.002274194236366277,34,94.8,1.4934,False,3222.0,34
"Alexander, Jason",HOU,FF,-0.011066416965027812,67,80.2,0.6184,False,5375.0,67
"Alexander, Jason",HOU,SI,-0.005660306403418265,72,92.2,0.4884,False,6641.0,72
"Alexander, Jason",HOU,ST,0.0069724533345184424,21,97.1,0.6728,False,2039.0,21
"Alexander, Tyler",TEX,CH,-0.00276526494290221,259,92.5,1.0351,False,23953.0,259
"Alexander, Tyler",TEX,FC,-0.0018437200331519847,226,96.1,0.8107,False,21726.0,226
"Alexander, Tyler",TEX,FF,-0.005532343696589929,193,90.9,0.8003,False,17546.0,193
"Alexander, Tyler",TEX,SI,-0.005905279186827545,205,91.8,0.8316,False,18815.0,205
"Alexander, Tyler",TEX,ST,0.005869769405100483,195,94.3,1.2054,False,18398.0,195
"Allard, Kolby",CLE,CH,-0.005200029880198241,33,87.8,0.7106,False,2899.0,33
"Allard, Kolby",CLE,CU,-0.01242964866105467,24,65.9,0.7836,False,1582.0,24
"Allard, Kolby",CLE,FF,-0.006928044949988058,60,88.2,0.5087,False,5294.0,60
"Allard, Kolby",CLE,SI,-0.009978512697853149,20,84.6,0.6227,False,1691.0,20
"Allard, Kolby",CLE,SL,-0.0016283987381029875,40,82.3,0.7931,False,3292.0,40
"Allen, Logan",CLE,CH,-0.004495560198340045,43,89.2,0.8449,False,3835.0,43
"Allen, Logan",CLE,FC,-0.001646162183509683,77,96.8,0.9881,False,7453.0,77
"Allen, Logan",CLE,FF,-0.00425443313662816,88,93.4,0.7234,False,8223.0,88
"Allen, Logan",CLE,SI,-0.010380479920505028,53,83.8,0.7008,False,4439.0,53
"Allen, Logan",CLE,ST,0.004944741938288644,64,92.0,0.8267,False,5891.0,64
"Alvarado, Elvis",ATH,FF,0.008865009148952753,508,119.0,0.5722,False,60449.0,508
"Alvarado, Elvis",ATH,FS,-0.0004092450705814242,56,92.0,1.6888,False,5151.0,56
"Alvarado, Elvis",ATH,SI,0.0012304553141196568,123,104.6,0.635,False,12870.0,123
"Alvarado, Elvis",ATH,SL,0.010155202902825226,173,110.4,0.7764,False,19105.0,173
"Alvarado, José",PHI,FC,0.005932822635296743,338,119.4,0.5753,False,40356.0,338
"Alvarado, José",PHI,FF,-0.001966094410118575,13,97.8,1.1303,False,1272.0,13
"Alvarado, José",PHI,SI,0.0040681445855304905,661,109.8,0.5077,False,72578.0,661
"Alvarado, José",PHI,SL,0.008573741459384047,29,106.7,1.1175,False,3093.0,29
"Alvarez, Andrew",WSH,CH,-0.004062615793853852,87,90.0,1.0247,False,7831.0,87
"Alvarez, Andrew",WSH,CU,0.00664685987588692,514,107.1,0.7851,False,55066.0,514
"Alvarez, Andrew",WSH,FF,-0.007861746473125831,479,86.4,0.7516,False,41402.0,479
"Alvarez, Andrew",WSH,SI,-0.007007941021238993,232,89.8,0.9827,False,20836.0,232
"Alvarez, Andrew",WSH,SL,0.00479800293584276,352,97.7,0.7228,False,34379.0,352
"Anderson, Drew",DET,CH,0.017895880367161127,497,131.4,1.0144,False,65283.0,497
"Anderson, Drew",DET,CU,0.0014785759977965225,360,96.0,1.0896,False,34543.0,360
"Anderson, Drew",DET,FF,-0.0013661132098938768,651,99.0,0.5632,False,64477.0,651
"Anderson, Drew",DET,SI,0.0032756179315038027,25,108.3,0.852,False,2707.0,25
"Anderson, Drew",DET,SL,0.004240638321299719,78,96.3,0.8713,False,7513.0,78
"Anderson, Grant",MIL,CH,-0.001172773110973198,31,95.5,0.9907,False,2959.0,31
"Anderson, Grant",MIL,FF,0.003483300216423424,321,108.5,0.5608,False,34829.0,321
"Anderson, Grant",MIL,SI,0.0010160285366042888,222,104.3,0.5732,False,23148.0,222
"Anderson, Grant",MIL,ST,0.00634108580139646,341,95.5,0.7036,False,32570.0,341
"Anderson, Jack",BOS,CU,5.8954839584078975e-05,11,93.0,1.8131,True,1023.0,11
