pitcher,team,pitch_type,rawmean,n,stuff_mean,support,low_support
"Abbott, Andrew",CIN,CH,0.0016631642438646927,295,100.9,0.645,False
"Abbott, Andrew",CIN,CU,0.00014030415186105143,227,97.8,0.747,False
"Abbott, Andrew",CIN,FC,-0.0012087906856322662,20,99.8,0.8104,False
"Abbott, Andrew",CIN,FF,-0.0047421509815835355,767,93.7,0.4941,False
"Abbott, Andrew",CIN,ST,0.003288634472062347,333,94.5,0.7085,False
"Abel, Mick",MIN,CH,-1.1408448843876757e-05,63,99.4,0.8983,False
"Abel, Mick",MIN,CU,0.0049356972913734524,42,101.7,0.7976,False
"Abel, Mick",MIN,FF,0.004476731413911517,155,107.8,0.5711,False
"Abel, Mick",MIN,SI,-0.004553867629147135,10,99.4,0.6893,False
"Abel, Mick",MIN,SL,0.0059790363395867034,48,101.4,0.8375,False
"Abel, Mick",MIN,ST,0.010634990491104336,39,101.8,0.9876,False
"Abner, Philip",ARI,CH,0.00398299559019506,5,100.2,1.1861,False
"Abner, Philip",ARI,CU,-0.0004182002930275093,26,99.1,1.1689,False
"Abner, Philip",ARI,FF,-0.004428201542856793,75,97.2,0.7868,False
"Abner, Philip",ARI,SL,0.007030102959834039,10,100.6,0.9551,False
"Abreu, Bryan",HOU,CH,0.003389427438378334,1,100.0,0.9366,False
"Abreu, Bryan",HOU,FC,-0.006867817402141349,31,96.7,0.8896,False
"Abreu, Bryan",HOU,FF,-0.00321344108918168,255,97.3,0.5548,False
"Abreu, Bryan",HOU,SI,0.006936718709766865,1,100.2,0.7321,False
"Abreu, Bryan",HOU,SL,0.006647414133855928,257,104.1,0.7332,False
"Acton, Garrett",MIN,FF,0.0017706331416284518,63,102.7,0.7001,False
"Acton, Garrett",MIN,SL,-0.0028153230638194005,52,95.1,0.9401,False
"Adam, Jason",SDP,CH,-0.001802802755737297,177,97.2,0.6335,False
"Adam, Jason",SDP,FF,-0.0068152786211124125,121,93.6,0.5866,False
"Adam, Jason",SDP,SL,-0.00015367083658929915,200,94.3,0.5661,False
"Adam, Jason",SDP,ST,0.001786618079916623,38,97.3,1.0242,False
"Adams, Travis",MIN,CH,-7.885423614285313e-05,104,99.2,0.8411,False
"Adams, Travis",MIN,FC,-0.00014464046714227107,83,100.5,0.858,False
"Adams, Travis",MIN,FF,-0.005474267801277365,109,95.4,0.6497,False
"Adams, Travis",MIN,SI,-0.00042097795583111673,19,100.3,0.8203,False
